ProductID,Date,Zip,Units,Currency,Revenue
2238,18-11-2023,15225,4,USD,85.12
1262,21-07-2024,54888,19,USD,1470.49
1701,04-08-2024,76126,8,USD,687.47
2037,22-05-2024,58332,4,USD,123.06
1953,23-12-2023,99466,14,USD,1070.27
1889,05-05-2024,55861,1,USD,46.8
160,25-09-2023,86251,15,USD,492.68
2115,25-10-2023,10578,14,USD,1153.0
27,01-08-2024,64363,14,USD,568.47
1209,09-09-2023,12765,13,USD,316.18
2264,29-12-2023,47967,16,USD,1587.41
341,08-07-2024,94510,19,USD,1512.74
1423,17-09-2023,20429,20,USD,1731.69
2121,11-11-2023,46769,3,USD,154.17
1928,10-07-2024,46915,20,USD,1443.11
2146,07-11-2023,33954,11,USD,920.84
2355,22-10-2023,76282,9,USD,712.47
1929,30-11-2023,59839,10,USD,945.52
1515,13-11-2023,70571,1,USD,91.46
1534,13-02-2024,97349,3,USD,121.22
1350,04-01-2024,65962,18,USD,1415.95
340,01-09-2023,21844,11,USD,738.93
669,09-08-2024,68945,12,USD,807.93
142,02-04-2024,18055,18,USD,700.71
842,17-02-2024,90334,19,USD,1483.91
778,16-12-2023,54436,13,USD,1014.8
1981,26-08-2024,97260,12,USD,983.5
1517,29-02-2024,55809,2,USD,176.62
311,24-09-2023,39068,12,USD,405.47
509,18-05-2024,76454,11,USD,324.95
1235,04-10-2023,38140,10,USD,534.02
1936,18-04-2024,88519,18,USD,824.93
898,28-08-2024,53951,19,USD,1173.57
1821,17-04-2024,61192,20,USD,656.33
1945,18-05-2024,24185,8,USD,716.5
1515,02-05-2024,95320,4,USD,286.37
1549,15-09-2023,80162,18,USD,720.57
807,17-08-2024,51033,12,USD,1199.8
699,21-09-2023,87880,3,USD,142.17
1201,24-03-2024,86074,4,USD,385.95
1445,22-03-2024,57028,11,USD,299.49
53,21-07-2024,13558,15,USD,415.8
1830,27-09-2023,31679,5,USD,127.11
1295,06-08-2024,62790,19,USD,1748.27
2221,29-07-2024,32656,2,USD,153.31
759,12-01-2024,69699,5,USD,487.59
1107,05-04-2024,92253,10,USD,704.41
943,15-04-2024,34703,7,USD,449.64
1984,30-03-2024,13066,4,USD,218.37
808,19-09-2023,76590,6,USD,472.4
1457,25-10-2023,51956,8,USD,396.99
2119,12-11-2023,76738,18,USD,366.21
1309,28-12-2023,17966,5,USD,287.69
347,20-12-2023,61652,11,USD,735.39
1483,01-07-2024,78060,3,USD,124.62
1699,28-03-2024,75225,1,USD,46.55
2181,12-04-2024,63266,12,USD,462.05
168,05-09-2023,51671,4,USD,139.51
584,19-11-2023,16441,12,USD,960.72
1279,03-03-2024,73109,11,USD,662.62
1738,10-01-2024,62959,10,USD,280.99
903,25-01-2024,76181,10,USD,798.47
371,08-01-2024,81624,20,USD,1233.08
444,02-04-2024,17371,15,USD,341.08
1976,19-09-2023,13038,8,USD,554.79
983,16-10-2023,36889,19,USD,768.82
349,25-10-2023,31213,15,USD,1340.9
792,12-08-2024,95712,17,USD,1507.59
2174,12-08-2024,85984,10,USD,871.47
1690,18-03-2024,48869,13,USD,513.13
1292,03-04-2024,92690,13,USD,1032.96
1995,18-09-2023,44279,18,USD,1226.74
1863,28-04-2024,81184,15,USD,1101.5
1344,01-04-2024,38820,10,USD,598.31
2011,09-04-2024,33210,10,USD,671.03
503,09-09-2023,75211,18,USD,1159.45
2128,19-04-2024,79966,7,USD,420.36
667,20-12-2023,79205,13,USD,1055.08
694,14-11-2023,83058,2,USD,169.53
554,01-10-2023,58552,19,USD,1213.33
886,20-02-2024,36232,14,USD,1066.86
2006,12-10-2023,60032,14,USD,801.38
1035,12-11-2023,76340,14,USD,445.36
1177,21-12-2023,39243,1,USD,35.42
169,24-05-2024,63772,5,USD,168.39
1518,02-07-2024,74045,20,USD,431.07
2321,30-11-2023,82265,5,USD,175.68
1791,02-06-2024,42994,20,USD,1316.78
2387,04-01-2024,71153,17,USD,1587.42
342,19-09-2023,53826,8,USD,589.7
1876,23-01-2024,46285,7,USD,240.5
1895,05-06-2024,38655,10,USD,783.4
186,26-07-2024,88770,14,USD,557.42
114,15-10-2023,25671,7,USD,149.03
1183,12-05-2024,39717,18,USD,1756.2
674,19-01-2024,96852,3,USD,73.5
1830,01-05-2024,99970,9,USD,457.82
1990,08-07-2024,96066,2,USD,46.92
1036,29-11-2023,79343,10,USD,834.9
1928,19-07-2024,74643,11,USD,549.88
2174,09-01-2024,95502,12,USD,859.32
602,24-07-2024,93025,8,USD,186.05
342,17-04-2024,89258,18,USD,923.85
1549,14-07-2024,68717,14,USD,1351.15
730,19-11-2023,87631,1,USD,70.65
1127,01-10-2023,23255,20,USD,415.96
499,20-04-2024,98332,19,USD,940.34
1241,04-10-2023,47544,19,USD,684.14
169,06-08-2024,18726,8,USD,270.35
722,30-01-2024,48277,5,USD,109.78
740,25-04-2024,20481,7,USD,561.72
1708,12-09-2023,11237,9,USD,710.84
998,06-06-2024,39412,7,USD,231.01
224,27-08-2024,14775,11,USD,249.53
1324,19-11-2023,21655,18,USD,1156.07
268,16-06-2024,14220,20,USD,1933.4
1045,17-11-2023,32286,10,USD,936.09
639,28-04-2024,30107,2,USD,74.69
634,07-08-2024,23618,2,USD,123.87
1911,24-03-2024,92043,6,USD,333.73
787,18-06-2024,44060,11,USD,417.28
584,09-09-2023,26404,3,USD,122.99
523,22-02-2024,54207,9,USD,506.63
700,19-09-2023,77033,2,USD,74.92
352,15-06-2024,25128,9,USD,411.09
1362,14-02-2024,28031,11,USD,861.32
645,31-01-2024,70743,9,USD,739.71
189,24-10-2023,57905,14,USD,614.3
1327,24-05-2024,58095,17,USD,555.01
317,23-10-2023,24699,3,USD,173.96
1904,16-10-2023,71965,7,USD,306.77
982,17-12-2023,74569,1,USD,58.15
2254,12-03-2024,18040,4,USD,270.68
531,01-06-2024,16982,19,USD,654.28
706,15-04-2024,60272,20,USD,1438.22
2080,01-09-2023,42882,1,USD,73.22
87,25-02-2024,69069,10,USD,681.77
1705,11-11-2023,75011,8,USD,421.26
856,11-03-2024,75809,13,USD,1085.62
450,22-08-2024,70654,11,USD,459.1
759,08-04-2024,90284,17,USD,779.56
125,07-09-2023,73014,8,USD,789.47
745,18-03-2024,73850,20,USD,1685.23
1390,12-05-2024,33242,20,USD,502.03
2198,29-07-2024,66698,1,USD,76.56
1461,30-11-2023,69192,7,USD,569.88
1354,09-10-2023,23157,11,USD,298.67
1411,28-11-2023,55008,14,USD,1119.06
145,23-09-2023,40410,11,USD,417.26
58,20-06-2024,66043,10,USD,345.25
1043,01-03-2024,94767,8,USD,531.29
1052,22-07-2024,22709,13,USD,739.49
1372,06-07-2024,75283,2,USD,102.37
844,14-09-2023,74798,15,USD,1465.53
1113,24-03-2024,42068,9,USD,343.54
1651,26-10-2023,41642,15,USD,412.34
751,01-01-2024,63303,2,USD,184.92
1755,18-04-2024,26950,6,USD,575.07
2269,21-11-2023,20668,3,USD,114.59
382,25-01-2024,69977,16,USD,652.8
640,21-08-2024,78874,5,USD,146.05
618,19-02-2024,60457,17,USD,1176.39
2280,02-03-2024,13831,17,USD,1248.54
745,25-03-2024,29599,10,USD,552.45
1420,25-12-2023,14498,4,USD,218.09
831,27-11-2023,14599,16,USD,1159.85
1325,21-08-2024,35048,14,USD,368.3
582,18-05-2024,31522,15,USD,1166.47
109,09-05-2024,95390,4,USD,260.58
54,22-12-2023,89124,13,USD,1186.59
2354,18-08-2024,91835,12,USD,333.76
921,24-10-2023,94251,18,USD,408.31
198,31-12-2023,64591,2,USD,134.27
1931,18-07-2024,51078,10,USD,287.23
2118,28-02-2024,81674,18,USD,1414.24
2215,12-12-2023,85468,1,USD,62.85
1486,29-03-2024,36816,4,USD,114.35
2308,31-03-2024,82236,18,USD,399.93
1601,05-09-2023,63134,10,USD,721.97
2320,07-09-2023,79489,10,USD,401.45
550,26-06-2024,60812,1,USD,28.18
1618,02-01-2024,74988,2,USD,122.91
1372,20-07-2024,51338,7,USD,544.26
2024,02-06-2024,94774,8,USD,645.42
1143,27-05-2024,46004,5,USD,235.83
652,29-02-2024,27936,4,USD,344.54
420,28-12-2023,68193,17,USD,358.59
1680,04-05-2024,26693,20,USD,1045.07
1409,17-10-2023,35828,2,USD,80.66
571,17-07-2024,53256,16,USD,462.2
1631,28-04-2024,23288,9,USD,621.69
2075,30-07-2024,63870,6,USD,227.35
1320,23-08-2024,57046,19,USD,382.73
1445,25-01-2024,47535,19,USD,980.45
883,28-02-2024,65790,3,USD,131.97
785,19-04-2024,17074,1,USD,34.19
1761,25-04-2024,12972,5,USD,204.48
1300,04-12-2023,87485,4,USD,101.82
525,15-03-2024,10034,6,USD,334.22
1126,17-08-2024,32477,11,USD,1093.88
547,26-07-2024,21998,7,USD,368.28
822,07-01-2024,79583,11,USD,767.49
638,10-06-2024,96370,1,USD,70.82
460,09-05-2024,49384,1,USD,81.24
1261,13-03-2024,24918,6,USD,160.96
2154,31-12-2023,58232,12,USD,422.46
615,25-07-2024,84392,5,USD,460.72
1109,11-09-2023,24633,9,USD,795.19
1499,21-11-2023,34963,14,USD,645.02
634,20-04-2024,45586,9,USD,699.08
1214,03-09-2023,61489,8,USD,220.79
941,31-05-2024,54734,19,USD,1018.12
1448,18-04-2024,57971,9,USD,549.32
129,03-05-2024,39001,17,USD,1432.44
960,22-10-2023,15147,13,USD,1135.47
313,17-05-2024,64263,3,USD,241.9
1661,23-10-2023,97681,2,USD,108.81
1506,21-09-2023,89179,17,USD,1485.31
237,24-04-2024,90942,12,USD,308.61
1984,13-05-2024,82382,9,USD,844.79
2375,09-05-2024,92760,15,USD,1041.12
439,08-12-2023,77230,2,USD,51.04
76,06-11-2023,94200,17,USD,475.53
1232,28-02-2024,40781,19,USD,1721.58
1612,20-05-2024,95952,5,USD,419.98
1936,19-02-2024,63150,1,USD,65.87
286,19-09-2023,26044,14,USD,633.44
2412,18-09-2023,50596,19,USD,1683.95
527,16-08-2024,33606,14,USD,746.6
1669,23-02-2024,90157,5,USD,197.41
1417,27-03-2024,20810,12,USD,873.64
1925,26-08-2024,56357,4,USD,177.55
2365,23-01-2024,95474,20,USD,1582.59
2147,13-10-2023,81678,12,USD,1039.18
2051,17-02-2024,92330,6,USD,561.8
273,18-05-2024,46982,9,USD,882.03
223,11-07-2024,51779,17,USD,1234.12
950,21-08-2024,38503,8,USD,201.1
1533,25-03-2024,58557,2,USD,169.1
222,07-09-2023,57650,6,USD,583.56
353,09-09-2023,43151,8,USD,673.87
235,22-07-2024,46157,12,USD,624.26
503,21-03-2024,14411,8,USD,798.53
2256,18-02-2024,96615,12,USD,367.73
419,20-02-2024,81489,6,USD,400.18
2369,24-09-2023,76212,8,USD,555.78
895,11-07-2024,45046,13,USD,1173.22
1055,25-01-2024,42985,16,USD,646.63
623,06-10-2023,70036,17,USD,694.63
1065,02-02-2024,99420,18,USD,417.22
1736,14-01-2024,24670,11,USD,560.22
218,07-09-2023,91819,6,USD,475.35
1344,17-05-2024,32442,15,USD,919.7
612,26-03-2024,19091,16,USD,1575.69
1295,08-11-2023,73771,17,USD,906.72
425,19-09-2023,56223,10,USD,353.36
2282,15-05-2024,20026,17,USD,1221.01
1428,29-02-2024,30036,2,USD,114.68
940,12-09-2023,59639,11,USD,603.93
854,23-09-2023,74240,6,USD,289.9
947,10-06-2024,13716,17,USD,827.0
1684,20-08-2024,32675,14,USD,778.06
1178,03-11-2023,84335,13,USD,716.67
710,07-09-2023,57522,11,USD,786.36
230,23-05-2024,46436,17,USD,422.62
1282,08-06-2024,61335,4,USD,376.94
2185,18-01-2024,76774,17,USD,1131.79
451,11-06-2024,62315,14,USD,315.94
303,29-08-2024,38018,6,USD,460.72
1687,27-03-2024,48922,9,USD,548.43
1225,06-09-2023,12273,9,USD,347.13
1959,27-10-2023,34231,1,USD,40.73
219,03-05-2024,31995,13,USD,532.17
2041,29-05-2024,10843,17,USD,360.19
2352,12-07-2024,74884,3,USD,166.02
1860,16-12-2023,51823,7,USD,579.19
1611,25-04-2024,21763,11,USD,582.12
368,26-05-2024,73908,15,USD,522.87
1987,27-08-2024,47340,17,USD,1108.28
1184,08-06-2024,74119,3,USD,140.25
751,05-02-2024,13576,10,USD,281.23
1628,04-04-2024,95339,16,USD,620.14
736,11-10-2023,10494,8,USD,745.26
225,25-02-2024,49174,19,USD,1233.36
1496,02-04-2024,38824,1,USD,35.07
1135,13-04-2024,72415,6,USD,220.37
60,30-01-2024,22137,5,USD,215.8
107,10-01-2024,90743,18,USD,534.47
1787,09-04-2024,72741,6,USD,361.21
1602,02-04-2024,55166,14,USD,999.45
1705,03-03-2024,46372,16,USD,936.53
296,11-09-2023,68206,5,USD,182.03
1135,28-11-2023,91889,16,USD,1055.85
2130,26-06-2024,26690,16,USD,1532.46
647,12-12-2023,89600,11,USD,860.34
174,12-03-2024,16020,20,USD,621.77
1981,14-12-2023,25139,17,USD,1272.3
1808,19-01-2024,91192,15,USD,1141.97
2404,14-05-2024,43593,15,USD,942.95
1277,26-09-2023,83568,16,USD,1139.86
426,07-07-2024,31584,11,USD,398.66
861,16-10-2023,28839,11,USD,365.4
1888,05-07-2024,82444,12,USD,1112.55
972,09-06-2024,28867,16,USD,1522.53
2294,28-09-2023,52961,7,USD,651.83
79,09-02-2024,99490,4,USD,232.1
1875,15-05-2024,77533,11,USD,796.75
1816,19-11-2023,94567,5,USD,412.03
127,06-05-2024,34017,18,USD,1729.16
1736,10-09-2023,57132,4,USD,350.36
1881,27-05-2024,75137,7,USD,255.69
1262,19-01-2024,91078,14,USD,595.04
1808,06-03-2024,53576,7,USD,359.69
2226,27-07-2024,36446,13,USD,1242.56
21,02-12-2023,83232,16,USD,1324.13
852,31-05-2024,66560,3,USD,216.0
542,23-04-2024,53302,17,USD,390.12
414,29-07-2024,52299,7,USD,487.64
1506,26-12-2023,48008,2,USD,59.41
1545,10-10-2023,52456,14,USD,464.12
1420,25-07-2024,11558,9,USD,635.9
1171,14-04-2024,21867,6,USD,124.4
343,26-02-2024,37317,14,USD,1100.94
49,07-12-2023,17224,20,USD,1571.78
